text,Dialect
أوكي . واش هو الأسم ديال الشخص الثاني ورقم هاتفه ، من فضلك .,DZ
سامحني . خليني نخرج ، من فضلك .,DZ
تقدر تعيط لكاش عامل يهدر اليابانية ؟,DZ
نزورو بزاف العائلة تاعنا .,DZ
ميكي هاياكاوا . غرفة سبعمائة و اثنان .,DZ
لازم نجوز الليلة هنا ، ولا لالا ؟ تقدر تعاوني باش نحجز غرفة في الفندق ؟,DZ
مايكونش طويل . خمسة عشر دقيقة على الأكثر .,DZ
تقدر تقولي السومة تع هاذ الاتصال ؟,DZ
حسنا ، تقدر تقولو بلي اتصلت بيه ، من فضلك ؟ راني نعاود نتصل بيه ممبعد .,DZ
كاين رحلة فالصبح ؟,DZ
تبدلو عملات خارجية ؟,DZ
وين نقدر نشري بيليكول ؟,DZ
عندكم البيرة اليابانية ؟,DZ
راني حاب نسجل الأمتعة دياولي .,DZ
معاك اآنسة كاوازو من الغرفة ألف و ستمئة و احدعشر .,DZ
العفو .,DZ
واش هو المهم ليكم أنتوما اليابانيين ؟ رأس العام و لا النوال ؟,DZ
دقيقة ، من فضلك .,DZ
من فضلك عمر بيان الضياع .,DZ
ملبارح .,DZ
تأمين التصادم والمسئولية القانونية داخل .,DZ
عندكم دي بروش شابين ؟,DZ
راني نتصل من كابين عام في ماصي .,DZ
شحال سعر موقف السيارات بالوقت ؟,DZ
سيداتي و سادتي ، في هاذ الرحلة ، كاين عمال يابانيين تقدرو تعرفوهم من لعلام الصغير على السترة ديالهم . ويدا شفتوا كاش واحد يسحق معاونة فاللغة ، عرفونا بيه .,DZ
عندك وقت فني مفضل ؟,DZ
من فضلك عاود تأكد مرة اخرى .,DZ
اهبط مع الواد نصف ميل تقريبا و توصل للحديقة .,DZ
ايه ، دوك نبعتوهلك الى لاس فيقاس .,DZ
راني نحوس على لبسة تع الجري .,DZ
راك حاب تزيد تاخذ كاش حاجة من البار ؟,DZ
خير لوكان تاخذ القطار تع الثامنة و النصف .,DZ
راهو وقت المحار ، امالا يكونوا بنان .,DZ
راني حاب مع ساعة يد ثانية .,DZ
نسجل على التاسعة و نص تاع اليل تقريبا .,DZ
راهو راح الحال . لازم نروح .,DZ
أنا مستعملتش خدمة الغسيل ديالك . تقدر تعاود تتأكد منه ؟,DZ
راني حاب شاي ، من فضلك .,DZ
لالا ، ماكانش .,DZ
اذا هاذي هي المحطة الأخيرة ؟,DZ
هيا نتصلو بيه .,DZ
حار بزاف ؟,DZ
وين نقدر نصيب حافلة تع السياحة ؟,DZ
ايه ، راني حاب نزور المدينة .,DZ
يعطيك الصحة على حسن الضيافة .,DZ
الصدق هو أفضل سياسة .,DZ
تقدر تنوظني على الساعة الستة ، من فضلك ؟,DZ
شحال تسوا لنص نهار ؟,DZ
إسمي كنجي .,DZ
تعرف بلايص شابين للزيارة في شيكاقو ؟,DZ
مليح ، اذا راك مصر ، نرافقك .,DZ
راني حاب نحجز للساعة الثالثة و نصف بعد الزوال .,DZ
الخزنة ، من فضلك .,DZ
من فضلك خير النبيذ لي يوالم .,DZ
لازم نخلص المازوت ؟,DZ
السارق . شدوه .,DZ
ديرلي شوية صرف من فضلك .,DZ
صغيرة و شابة .,DZ
فوق الطبق ، من فضلك .,DZ
مرجعوليش الغسيل تاعي .,DZ
حقأ ، اذا ماعندك والو السبت الجاي ؟,DZ
حسنا ، بالاك نقدرو نتفاهمو مليح .,DZ
تعاملت معايا كلي أنا طلاب .,DZ
راني شايف . تقدر تزيد تعاوني في مشكل واحدأوخر ؟,DZ
تقدر تضبطلي هاذ النواظر على حساب الشوف ديالي ؟,DZ
شحال شابين هاذ الكلاب . واش من سلالة تعهم ؟,DZ
طاحتلي الفرشيطة ديالي . تقدر تجيبلي واحدأوخرا ، من فضلك .,DZ
كانت مليح .,DZ
أكيد . روح قبالة و دور على اليمين فالطريق الثالثة . تصيبو على اليمين ديالك .,DZ
تعرف كاثي ؟ اليوم حفلة عيد ميلادها .,DZ
عندكم رسم بياني ملون ؟,DZ
إذن قولي ، أنت ، كيفاش نعرف بلي صح ؟,DZ
اذا مافيهاش لاطاكس ؟,DZ
مانقدرش ندير الأمتعة دياولي تحت المقعد . تقدر تخليهوملي عندك ، من فضلك ؟,DZ
تقدر تدير هاذ الحقيبة فالسيارة ؟,DZ
كيافش نخرج دوكا ، نروح نجيبو .,DZ
من فضلك ابعث كاش واحد يجيبلي الأمتعة دياولي على الستة و نص .,DZ
واش أنواع الخبز لي عندكم ؟,DZ
وين جاي المصعد ؟,DZ
كاين كاش واحد يعرف يلعب البيانو ؟,DZ
صحا ، لكن مشكيتش يكون عندنا الوقت باش نقعدو ليلتين . تقدر تحجزلي غرفة فيها زوج بناك في هاذ الفندق لليلة اثناعشر مارس برك ؟,DZ
مازال مقررناش .,DZ
رفيقي تعثر و دارت رجلو .,DZ
نجرب المثلجات .,DZ
كاين مطعم تايلندي في النواحي ؟,DZ
راهو عند هاذ المبنى الكبير . عاود ولي حتا تلحق للاشارات الضوئية ، امبعد دور على اليسار .,DZ
لازم ناخذ هاذ الطيارة ل لوس أنجلس بكري بزاف غدوا صبح .,DZ
"إذن ، نقترح عليك بكل ثقة هاذ "" الزيارة لمدينة سان فرنسيسكو "" . راح تعطيلك نظرة عامة على سان فرنسيسكو .",DZ
راني حاب نتصل بشركة تأمين .,DZ
راهي حابة تشري فستان .,DZ
شحال نخلص الطاكسي باش يديني لهاذ الفندق ؟,DZ
وين نصيب المرحاض ؟,DZ
الدخلة لهاذ المبنى بالدراهم ؟,DZ
دير كيما تحب .,DZ
الطاقة راهي حاصلة .,DZ
نصف وقية من شانيل رقم خمسة ، من فضلك .,DZ
واش رايك في قهوة ؟,DZ
اذا لازملي تذكرة ؟,DZ
شحال تسوا الخدمة ؟,DZ
شحال الوقت من هنا ؟,DZ
الكريمة و السكر ؟,DZ
ماتديروش تخفيض للأعضاء ؟,DZ
كاين سوبر اكسبرس على التسعة و نص ؟,DZ
دوك نتحقق من سائل المكابح و المحرك . المحرك ديالك يبان راح يحبس .,DZ
ماشي الغلطة ديالي .,DZ
راحت التريسيتي .,DZ
دوك نقول للشرطة عليه .,DZ
اذا كل واحد لازم يخلص الاستهلاك ديالو ؟,DZ
أي واحد المهم يكون بين ثلاثون و خمسون دولار لليلة .,DZ
من فضلك صلحلي هذا .,DZ
لرأس العام . و للمناسبات الخاصة كيما الزواج ، حفلات تقديم الجوائز ولا الجنائز .,DZ
وعلاش متهديلوش هدية ؟,DZ
اعطاني ضربة من الجانب .,DZ
نقدر نجي على الزوج بعد الظهر .,DZ
اذا الأمتعة تع الرحلة جيه إيه إل صفر واحد ؟,DZ
هاذا أول سفر لي نحو باريس .,DZ
تقدر تديرلي تقدير للسومة قبل ما نبداو الخدمة ؟,DZ
ادخل ، من فضلك .,DZ
منين نطلعو للباخرة ؟,DZ
معندناش ساك كبير بزاف ، راح نديرو في هاد الساك الكبير تع البلاستيك .,DZ
راني حاب نلعب تنس .,DZ
كاين عصير البانان ، عصير التشينا و عصير الطوماطيش .,DZ
الجهة اليسار تع هاذ الطابق ، قريب من السلم المتحرك .,DZ
ماراكش حاب تشوف فيلم واحدأوخر ؟,DZ
من فضلك تقدر تصرفلي هاذ الشاك تع السفر الى سيولة نقدية .,DZ
نقدر نعطيلك أفضل جواب بعد عرض و لا زوج واحدوخرين .,DZ
واش من الموسيقى الكوميدية لي راهم يلعبو دوكا ؟,DZ
عندك مراية ؟,DZ
ندي هاذا ، من فضلك .,DZ
متقدرش تدي معاك الألعاب النارية لكندا .,DZ
زوجتك طباخة هايلة .,DZ
تسحق معاونة ؟,DZ
تقدر تحجزلي طاكسي لغدوة صبح على الستة ، من فضلك ؟,DZ
واش راك حاب مع المقبلة ديالك ؟,DZ
كاين بزاف الغاشي في هاذ البلاصة ، و لا لالا ؟,DZ
سامحني . رايحين يوجدو في خمسة دقائق تقريبا .,DZ
جاني تيبس الرقبة كي رقدت .,DZ
ايه . ماكانش مشكل . نقدر نشوف جواز السفر ديالك ؟,DZ
وقتاش لازم نكون فالمحطة ؟,DZ
كاين بزاف المطاعم فالزاوية .,DZ
قريب من غرفة الامانات .,DZ
متشرف اللي حكيت معاك .,DZ
عجبتني الإقامة . صحا .,DZ
الشاطئ غير لتحتا . شحال شابين المناظر الطبيعية .,DZ
يعطيك الصحة لي ستنيتي ، السيدة مكغير . هايليك . اتفضلي ، من فضلك .,DZ
عندك صورة شخصية للهوية ؟,DZ
سبعة ، من فضلك .,DZ
راني حاب نبعث هاذا للمغسلة . وقتاش يكون واجد ؟,DZ
عندي سروال مخطط .,DZ
ايه . الأمتعة تع واحدوخر حطوهم فالغرفة ديالي ؟ تقدر تتحقق ، من فضلك ؟,DZ
تقدرو تشرحولي بالتفصيل كتر ؟,DZ
رقدت مليح ؟,DZ
تقدر تضغط على زر الالتقاط ؟,DZ
زوج مفاتح من فضلك .,DZ
فآخر الكولواغ .,DZ
اذا نروحوا فالحافلة ؟,DZ
قلت بلي راك رايح لطوكيو غدوة ؟,DZ
لازم ناخذ الرحلة أ دوبلوفي . اذا كاين امكانية ؟,DZ
كيفاش كان اللعب ديالك هاذ اليامات ؟,DZ
ماكنش مشكل . اذا جيت فالخامس سبتمبر ، تقدر تحضر عرض فيلم علمي . عندنا يوم خاص أبواب مفتوحة في الأول من كل شهر .,DZ
عندك رحلة أخرى ؟,DZ
موافق . خصم خمسة بالمئة . يساعدك هكذا ؟,DZ
نروح لباريس .,DZ
ماشي آخر نوع ، ياك ؟,DZ
من المقرر على الثامنة والنصف ، بالوقت المحلي .,DZ
خوذلنا تصويرة قدام هاذ المبنى ، من فضلك .,DZ
أوكي . ناخذ بول متوسط و بولة واحدة تع الروز .,DZ
لواش تشبه ؟,DZ
حبيت نشوف النموذج لي راهو فالواجهة ، من فضلك .,DZ
مستحيل . رانا في عطلة . نرفض نقعد في غرفة الفندق نشوف البيسبول . راني حاب نروح نشوف المقابلة الحقيقية .,DZ
نقدر نمس ؟,DZ
تقدر تجي تصلحو ؟,DZ
راني حاب الألياف الاصطناعية .,DZ
حجزت باسم طانو طاناكا .,DZ
راني حاب كريمة لي تنحي الماكياج .,DZ
راني حاب قميص بيدين طوال .,DZ
سرقولي الساك ديالي .,DZ
رانا نتلاقاو بزاف ، و لا لالا ؟,DZ
نقدر نعاود نشوف لائحة الطلبات ؟,DZ
مازال يبانو مبتدئين .,DZ
شحال ؟,DZ
بالفريزة ، من فضلك .,DZ
لالا ، مازال . كاين بزاف الاختيارات .,DZ
تقدر تنقصلي فاليدين ؟,DZ
ماكانش ملعب للجولف فالنواحي .,DZ
تقدر توريلي الخاتم الثاني كي تروح من اليسار ؟,DZ
تقدر تقولو يتصل بيا ؟,DZ
راني نحاول نتصل للخارج . قدرت أنت تتصل للخارج من قبل ؟,DZ
ايه هاذي هي ، علاجال كاين علام مقابل لمقر البريد .,DZ
راني حاب ندير اتصال هاتفي ببطاقة الائتمان .,DZ
راني حاب ديالي نديه معايا .,DZ
غير يوصل نبعثوه لعنوان بيتك من عندنا .,DZ
أوه ، موافق ، راني فاهم . نجي عندكم .,DZ
لالا ، هاذا يكفي .,DZ
نقدر نتحصل على غطاء و مخدة ؟,DZ
تقدر تجي هنا بسرعة ، من فضلك ؟,DZ
فنجان قهوة ، من فضلك .,DZ
تقدر تنقص المقياس بثلاثة سنتيمتر ؟,DZ
عندي نفس العمر .,DZ
تقدر تجيبلي قهوة ؟,DZ
لازم نديرو تصويت ؟ واذا لالا ، نظن بلي وصلنا للنتيجة ، واللي راح نقولها لمجلس الإدارة ديالنا من غدوة صباح .,DZ
اذا تعرف بلي كاين فنادق رخيصة ؟,DZ
صباح الخير ، رقدت مليح ؟,DZ
واش راك تخمم تدير كي تكمل الدراسة ؟,DZ
سرقولي الساك ديالي فالطريق .,DZ
طلبت خدمة واحدوخرا من غير فطور الصباح ؟,DZ
راني حاب قهوة حليب ، من فضلك .,DZ
نتمنى ماتكونش بزاف عيان .,DZ
راني حاب نكري سيارة من هاذ الطراز ليومين .,DZ
ناخذ كاس جاك دانيال .,DZ
راني حاب كيس تع الماييز ، من فضلك .,DZ
ضاعتلي العصا تع التزحلق .,DZ
منجيبوش حتى هدية للاستقبال . في مكانه ، الضياف يهديو الدراهم .,DZ
راني حاب نبعثو بالنقل البري او البحري .,DZ
الطيارة توصل متأخرة على جال عاصفة ثلجية كبيرة .,DZ
الشحن ، من فضلك .,DZ
تقدر تاخذ الرسالة ، من فضلك ؟,DZ
سامحني ، مانيش نقدر نتبعك . تقدر تهدر بالشوية ، من فضلك ؟,DZ
نقدر ناخذ تصاور ؟,DZ
على مئة .,DZ
نقدر ندي نفس الطبق ؟,DZ
من فضلك جيبلي فطور الصباح للغرفة ديالي على السبعة تع الصبح .,DZ
المصلح المتخصص دوك شوية يطلع .,DZ
مازال كاين الأماكن للرحلة تع الخميس ؟,DZ
المعذرة . نقدر نجوز ؟,DZ
عندكم نباتات و فواكه ؟,DZ
تقدر تقولي كيفاش نعمر بطاقة الهبوط ؟,DZ
نظن بلي سيارتي تقدر بحوالي خمسة آلاف دولار .,DZ
اذا هي الماكلة بسعرات حرارية قليلة ؟,DZ
واش من حافلة لازم نديها باش نروح للمحطة ؟,DZ
إيه ، هاذا . بصح لازم تدور على اليسار عند الضوء الأحمر الثالث و تكمل في هاذ الطريق حتى للطريق ستة و ستون .,DZ
نشكرك لوكان توصلني للبحر .,DZ
سامحني . هذه غلطة . معك تانكييوشا برس .,DZ
رانا نسجل خروج .,DZ
من فضلك أعطي هاذ السيرو لوليدك ، مقدار واحد بعد الأكل .,DZ
هاذ النوع متوفر في ثمانية و عشرون ، و واحد وثلاثون وخمسة و ثلاثون سنتمتر .,DZ
أوه ، هذا يشبه بزاف .,DZ
نقدر نستعمل الهاتف ديالك ، من فضلك ؟,DZ
راني حاب نأكد على الرحلة ديالي لشيكاقو فالسابع عشر .,DZ
كليت شوية بزاف .,DZ
نقدر نهدر مع السيد براون ؟,DZ
باينة بلي راحة كبيرة كي تعيش في هاذ الدار ، ياك ؟,DZ
محفظتي ، جواز السفر ديالي و أغراض شخصية أخرى .,DZ
وقتاش تغلقو ؟,DZ
هاذا بالضبط واش كنت حاب نقول .,DZ
ايه ، راني نخمم فيه أنا تاني .,DZ
دارك كبيرة ، شحال فيها من غرفة ؟,DZ
عجبنا العشا .,DZ
أوه إيه ، من فضلك . نتمنى برك مايجيهومش دوار البحر .,DZ
واش هو الوقت المقدر اللي نوصلو فيه ؟,DZ
نروح بكري غدوة صبح ، لهذا حبيت نخلص دوك .,DZ
راهو مشغول دوكا .,DZ
اذا الأجانب يقدروا يتحصلو على الكتابات في هاذ المكتبة ؟,DZ
