tokens_no_stopwords,Dialect
"['تعجز', 'الكلمات', 'وصف', 'هاد', 'الشعور', 'اقسم', 'بالله', 'الا', 'اختالطات', 'المشاعر', 'ديالي', 'فرحان', 'لان', 'هدش', 'كيغير', 'حتي', 'النظره', 'ديال', 'التلميذ', 'للانسان', 'ويقول', 'شوف', 'راه', 'الناس', 'فالمغرب', 'كامل', 'كيفكرو', 'فيا', 'وكيعانوني', 'وكيزرع', 'حب', 'الخير', 'تحيه', 'عاليه', 'اللخر']",1
"['الي', 'اللي', 'يستحق', 'الشكر', 'انتما', 'علي', 'المجهودات', 'ديالكم', 'والتضحيات', 'ديالكم', 'علي', 'ود', 'ولاد', 'الشعب', 'تحياتي']",1
"['والله', 'حتي', 'شكرا', 'جميعا', 'تحيه', 'لولاد', 'الشعب']",1
"['الحمد', 'لله', 'دازت', 'بخير', 'مبغينا', 'نسمعوا', 'لخبار', 'الزينه', 'صديقي']",1
"['راك', 'حشمتيني', 'انت', 'والله', 'ومساعدتك', 'للتلاميذ', 'جميله', 'ورايعه', 'شكرا', 'ربيعه']",1
"['الله', 'اخلي', 'ليه', 'صحتو', 'اما', 'الاعتراف', 'فهاد', 'لبلاد', 'راه', 'مكاينش', 'والله', 'اخليك', 'ليه', 'تهلا']",1
"['اليوم', 'نعرفو', 'واش', 'عندنا', 'منتخب', 'قوي', 'اشاعه', 'الكامرون', 'اختبار', 'حقيقي', 'بالتوفيق', 'للمنتخب']",1
"['متافق', 'معاك', 'هدا', 'راه', 'اعتماد', 'للتوقيت', 'العادي', 'بطريقه', 'دبلوماسيه']",1
"['بصحتك', 'رد', 'بالك', 'راه', 'مزال', 'شهرين']",1
"['انا', 'متفق', 'الفكره', 'فكروا', 'هاشتاغ', 'مناسب', 'فضح', 'المتحرش', 'ويجب', 'نشر', 'الرسايل', 'وهكذا']",1
"['راك', 'عزيزه', 'وغاليه', 'والله']",1
"['شكرا', 'للمنتخب', 'الوطني', 'فرجتونا']",1
"['كاين', 'اللي', 'كيعيش', 'الحياه', 'وكيدخل', 'لتويتر', 'مره', 'مره', 'وكاين', 'اللي', 'كيعيش', 'تويتر', 'وكيدخل', 'للحياه', 'مره', 'مره']",1
"['مكتميزش', 'ضربه', 'جزاء', 'وتسلل', 'وتنتقد', 'المدرب', 'الزمر', 'هدا']",1
"['رونالدو', 'كون', 'راجل', 'ومتنكرش', 'العشره', 'خيرنا', 'سابق']",1
"['اي', 'بغانا', 'ودار', 'اي', 'حاجه', 'باش', 'اوصلنا', 'كنسمحو', 'ونزيدو']",1
"['اختي', 'راه', 'الكبت', 'والجهل', 'راه', 'كينتجو', 'الوحوش', 'البشريه']",1
"['بغيناهم', 'اسجلو', 'علي', 'راسهم']",1
"['خصها', 'تمشي', 'لجميع', 'الشعب', 'بلاش']",1
"['هادوك', 'المنشطات']",1
"['مستحيل', 'يخسر']",1
"['لايهم', 'الخساره', 'جزء', 'اللعبه', 'والمهم', 'اللاعبين', 'يراكموا', 'التجربه', 'ونستافدو', 'هاد', 'المونديال', 'للاستحقاقات', 'قادمه', 'برافو', 'المغرب', 'رغم', 'الخساره', 'رغم', 'شيء']",1
"['راه', 'حتي', 'التعادل', 'زوين', 'خصوصا', 'الي', 'ربحنا']",1
"['ضحكتني', 'الله', 'امسخك']",1
"['برامج', 'رمضان', 'عندما', 'يغيب', 'المعني', 'يصبح', 'الكوميدي', 'مهرجا', 'تعواج', 'الفم', 'ماشي', 'فن']",1
"['البركه', 'فراسك', 'الله', 'يرحمها', 'ووسع', 'عليها']",1
"['وقتاش', 'شاركو', 'فشي', 'مظاهره', 'المظاهرات', 'ديال', 'دعم', 'الشعب', 'الفلسطيني']",1
"['التلميذ', 'قالوا', 'الاستاذ', 'جيب', 'ولي', 'امرك', 'خرج', 'لقي', 'لمره', 'كبيره', 'رغبها', 'تدخلوا', 'مشي', 'الاستاذ', 'قالو', 'هالواليده', 'ديالي', 'صدقات', 'هديك', 'لمره', 'خالت', 'الاستاذ', 'شدو', 'الاستاذ', 'وعلقوا', 'فالباب']",1
"['واش', 'انت', 'مكتشجعش', 'المنتخب']",1
"['المهم', 'التاهل', 'لكاس', 'العالم', 'باي', 'نتيجه', 'وحتي', 'التعادل']",1
"['اشنو', 'بغاو', 'زعمه', 'الحكم', 'ايدير', 'مفهمتهمش']",1
"['وحتي', 'هاديك', 'ضربه', 'جزاء', 'ياك', 'البطولات', 'العربيه', 'بزاف', 'ديال', 'التخربيق']",1
"['صافي', 'انا', 'مرضت', 'مقديتش', 'نتحرك', 'بلاصتي', 'نشف', 'ليه', 'لدم', 'فركابيه', 'وبزاف', 'امي', 'فتيحه', 'حرقات', 'راسها', 'وهدا', 'طحنوه', 'فالماكينه']",1
"['فاش', 'كنت', 'فلبلاد', 'كنت', 'كنشارك', 'فبحال', 'هاج', 'الدوريات', 'خصوصا', 'فالعيد', 'لكبير']",1
"['اتمني', 'التوفيق', 'الشاف']",1
"['خلي', 'التوقع', 'للتاريخ', 'السنه', 'لديهم', 'فريق', 'شاب', 'ومتحفز', 'ومدرب', 'خبير']",1
"['دابه', 'الي', 'جا', 'عندك', 'شي', 'ضيف', 'للدار', 'اعطيه', 'الكود', 'ديال', 'الويفي', 'وتهنه', 'بلا', 'متناقش', 'معاه', 'بلا', 'ماتهضر', 'معاه', 'لقد', 'اكرمته']",1
"['شرف', 'نتلاقي', 'بعلاء', 'الظرافات', 'حوار', 'شيق', 'داز', 'معاه', 'تسناوني', 'قريبا', 'علي', 'شوف', 'تيي']",1
"['شكرا', 'خويا', 'هشام', 'علي', 'الاستظافه', 'القادم', 'احلي']",1
"['حبابي', 'تسناوني', 'علي', 'ميدراديو', 'الاعلامي', 'هشام', 'شبطيط', 'علي', 'الساعه', 'التاسعه']",1
"['حبابي', 'كنموت', 'عليكم', 'بغيتكم', 'تبانو', 'كاملين', 'الجيش', 'المهذب']",1
"['وصلاتني', 'هاد', 'الحلوي', 'هديه', 'شكرا', 'بزاف', 'وتبارك', 'الله', 'ساندوها', 'بغاها', 'تصاوب', 'ليه', 'شحاجه', 'دخلو', 'عندها']",1
"['اجمل', 'احساس', 'فاش', 'كنغني', 'فاي', 'بلاصه', 'وتيجيو', 'يتصورو', 'معايا', 'الناس', 'الزوينين', 'كنبغيكم', 'بزاف', 'وكنموت', 'عليكم', 'خليكم', 'فجنبي', 'حبابي']",1
"['هاي', 'نهاركم', 'مبروك', 'وسلامي', 'لهاد', 'الفن', 'الجميل', 'كيكون', 'فالشارع', 'تحياتي', 'الخالصه', 'نسرين', 'كتسلم', 'عليكم']",1
"['انت', 'خويا', 'خويا', 'بووص', 'سمعو', 'الاغنيه', 'كامله', 'كنتمني', 'تعجبكم']",1
"['هاد', 'السيد', 'كنقدرو', 'كنحتارمو', 'علي', 'الخدمه', 'ديالو', 'بالنسبه', 'ليا', 'احسن', 'الناس', 'كيديرو', 'الحلاقه', 'الموضه', 'زوروه', 'وماغاديش', 'تندمو', 'شكرا', 'جمال', 'اكبر', 'تحيه', 'ليك']",1
"['الموسيقي', 'لاقاتني', 'بناس', 'زوينين', 'خايبين', 'ناس', 'كيبغيو', 'ليا', 'الخير', 'وناس', 'كيبغيو', 'يطيحوني', 'ناس', 'كيشجعوني', 'وناس', 'كيحاربوني', 'ولهذا', 'كنبغي', 'نقوليكم', 'كنحبكم', 'كنموت', 'عليكم', 'خليكم', 'معايا', 'اغلي', 'الناس']",1
"['احسن', 'رفيسه', 'عميه', 'بطريقه', 'لاله', 'زهره']",1
"['سلام', 'وجوه', 'الخير', 'هاد', 'الاغنيه', 'كنهديها', 'لوليدات', 'مدينه', 'الجديده', 'ماتو', 'الله', 'يرحمهم', 'وجمهور', 'الدفاع', 'الحسني', 'الجديدي', 'تحيه']",1
"['اغنيه', 'علي', 'وليدات', 'مدينه', 'الجديده', 'ماتو', 'مشجعين']",1
"['هادشي', 'مخليني', 'نكمل', 'ونتقاتل', 'باش', 'نوصل', 'داكشي', 'بغيت', 'شكرا', 'بزاف', 'الحبيب', 'كلام', 'زوين', 'فحقي', 'صراحه', 'دموعي', 'بغاو', 'يهبطو', 'فاش', 'سمعتو', 'كملو', 'المسانده', 'ديالكم', 'ليا', 'عام', 'ديال', 'الكفاح', 'احبكم']",1
"['الحمد', 'لله', 'كاين', 'ناس', 'زوينين', 'كايبغيوني', 'كنبغيكم', 'بزاف', 'والقاده', 'احلي', 'حبابي']",1
"['اول', 'فنان', 'مغربي', 'يغني', 'لاطفال', 'الشوارع', 'سمعو', 'لميمه', 'شنو', 'قالت', 'ليا']",1
"['عمري', 'فحياتي', 'ننسا', 'هاد', 'النهار', 'كانطلب', 'المساعده']",1
"['حبابي', 'انا', 'رجعت', 'للانتاج', 'عامين', 'كتعرفو', 'الموسيقي', 'بوحدها', 'فالمغرب', 'منقدروش', 'نعيشو', 'بيها', 'فلهذا', 'الا', 'حتاجيتو', 'اي', 'حاجه', 'فالسمعي', 'البصري', 'مرحبا', 'بيكم', 'تاصلو', 'بيا', 'انا', 'رهن', 'اشارتكم']",1
"['الحمد', 'لله', 'كلشي', 'داز', 'مزيان', 'جمهور', 'فالمستوي', 'شكرا', 'ليكم', 'بزاف', 'علي', 'تشجيعاتكم', 'شكرا', 'لاعضاء', 'الجمعيه', 'كااملين', 'شكرا', 'طارق', 'احرار', 'رييس', 'الجمعيه', 'شكرا', 'الامن', 'اكبر', 'تحيه', 'ليكم', 'كنبغيكم', 'حبابي']",1
"['علاش', 'خصنا', 'ديما', 'نتبرعو', 'بالدم', 'ديالنا']",1
"['اجمل', 'احساس', 'عندي', 'فاش', 'كنطلع', 'الخشبه', 'وكنغني', 'قدام', 'بزاف', 'ديال', 'الناس', 'كيفرحو', 'وكيغنيو', 'معايا', 'كنتمني', 'نكون', 'ديما', 'عدد', 'حسن', 'الظن', 'ديالكم', 'احبكم', 'حبابي']",1
"['عيت', 'نصبر', 'عصبني', 'هاد', 'السيد', 'تشا', 'مالك']",1
"['بلاد', 'كحله']",1
"['حبابي', 'اش', 'باب', 'ليكم', 'فهاد', 'الستيل', 'نبدي', 'نديرو', 'مره', 'مره']",1
"['اكبر', 'تحيه', 'لاعز', 'الناس', 'كيبغيوني']",1
"['احسن', 'هدايا', 'احسن', 'وليدات']",1
"['تفاصيل', 'الشاب', 'اللي', 'قتلوه', 'بلا', 'رحمه', 'شفقه']",1
"['شكرا', 'علي', 'رسايلكم', 'يوم', 'ميلادي', 'فرحه', 'لاتوصف', 'عندي', 'اصدقاء', 'مثلكم', 'يحبونني', 'واحبهم', 'وعايلتي', 'كنموت', 'عليكم']",1
"['تلف', 'ماغاديش', 'نقوليه', 'يشد', 'الارض', 'خاصو', 'يفيق', 'ويفكر', 'اشنو', 'يدير']",1
"['شكرا', 'ليكم', 'كااملين', 'علي', 'الدعم', 'ديالكم', 'احبكم', 'وساظل', 'احبكم', 'خليكم', 'فجنبي', 'اغلي', 'الناس', 'دخلو', 'شوفو', 'اخر', 'اعمالي', 'هنايا', 'وتابعوني', 'باش', 'يوصلكم', 'الجديد']",1
"['كنبغي', 'موسيقتي', 'رغم', 'الصعاب', 'والعراقل', 'كندوز', 'غادي', 'نكمل', 'ونكافح', 'وانشاء', 'الله', 'بيكم', 'نتوما', 'غادي', 'نوصل', 'كنتمني', 'تكونو', 'فجنبي', 'احبكم', 'اغلي', 'الناس']",1
"['السلام', 'عفاكم', 'هاد', 'السيد', 'تلاقيتو', 'فالدارالبيضاء', 'كيمشي', 'علي', 'يديه', 'مشلول', 'رجليه', 'جا', 'عندي', 'هضرت', 'معاه', 'قالي', 'محتاج', 'كرسي', 'متحرك', 'قلت', 'ليه', 'غادي', 'ندير', 'صوره', 'ونشرها', 'ويقدرو', 'يعاونوك', 'الناس', 'بغا', 'يعاونو', 'يراسلني']",1
"['هاد', 'البنيه', 'عزيزه', 'عليا', 'بزاف', 'وماماها', 'الله', 'يخليها', 'ليها', 'تحيه', 'واش', 'عرفتوها', 'الفاشنيستا', 'الصغيره', 'محاسن', 'شكرا', 'جلال', 'علي', 'الصور']",1
"['مشيت', 'لاحسن', 'شاطي', 'فالمغرب']",1
"['شكرا', 'بزااف', 'نور', 'الهدي', 'والله', 'يخلي', 'ليكم', 'جاد', 'هادشي', 'كيحفزني', 'نزيد', 'نخدم', 'شكرا', 'ليكم', 'بزاف', 'علي', 'الدعم', 'ديالكم', 'ديرو', 'تانتوما', 'يديوات', 'صيفطوهالي', 'الدار']",1
"['سررت', 'بلقايك', 'اخي', 'وصديقي', 'الفنان', 'حديفه', 'شكرا', 'علي', 'حسن', 'الضيافه', 'تطوان', 'سيتي']",1
"['الحمد', 'لله', 'كلشي', 'داز', 'مزيان', 'تسناو', 'الصور', 'واليديو', 'ومفاجيه', 'زوينه']",1
"['استمتع', 'بوقتك', 'عيش', 'حياتك', 'كلشي', 'فايت']",1
"['غادي', 'طيح', 'وتنوض', 'ولاكن', 'متشوفش', 'وراك', 'شوف', 'قدامك', 'وفكر', 'ايجابي', 'الطريق', 'طويله', 'سيير']",1
"['غادي', 'يجي', 'الوقت', 'غادي', 'تبقي', 'هاد', 'الصوره', 'ذكري', 'كنموت', 'عليكم']",1
"['الصيف', 'صيف', 'تحياتي', 'ليكم', 'حبابي', 'ابن', 'جرير']",1
"['لحضات', 'لقايي', 'زوجي', 'سنه', 'ونصف', 'سنعيش', 'سقف']",1
"['انسان', 'لاقاتني', 'بيه', 'الوقت', 'صدفه', 'ولاكن', 'اصبح', 'اعز', 'صديق', 'عندي', 'بمثابه', 'اخ', 'انسان', 'كيبغي', 'الخير', 'لغيرو', 'طموح', 'وعندو', 'عزيمه', 'اراده', 'شكرا', 'اخي', 'مراد', 'علي', 'الكل', 'راك', 'عزيز']",1
"['الاصدقاء', 'كيكونو', 'معاك', 'فاش', 'كتكون', 'بيخير', 'فاش', 'كيوقعو', 'ليك', 'مشاكل', 'كطيح', 'اون', 'ان', 'كيخويو', 'بيك', 'كيقلبو', 'ليسو', 'اصدقاء', 'اصحاب', 'الحاجه', 'الله', 'يلاقينا', 'احسن']",1
"['رغم', 'الصعوبات', 'والمشاكل', 'كنمر', 'كنحاول', 'نضحك', 'ونقول', 'الحمد', 'لله', 'الله', 'يدير', 'الخير']",1
"['بالتوفيق', 'للمغرب', 'اختي', 'الصغيره', 'قالت', 'نحط', 'هاد', 'الصوره', 'شحال', 'تستاهل', 'ابن', 'جرير']",1
"['كلشي', 'ديال', 'الله']",1
"['احسن', 'حاجه', 'وقعات', 'ليا', 'هاد', 'الاسبوع', 'تصورو', 'معايا', 'اطفال', 'الصم', 'والبكم', 'كبرو', 'بيا']",1
"['كنشوفكم', 'اعز', 'الناس', 'كنموت', 'عليكم', 'ابن', 'جرير']",1
"['واخيرا', 'حبابي', 'الجديد', 'فهاد', 'الايام', 'كونو', 'علي', 'بال', 'كنبغيكم']",1
"['اشياء', 'بداخلنا', 'تتغير', 'فعلنا']",1
"['حبابي', 'توحشتكوم', 'شكون', 'كيتسنا', 'الجديد']",1
"['حبابي', 'الناس', 'الزوينين', 'بغيت', 'نعرف', 'فيكم', 'انا', 'مدينه', 'فكومنطير']",1
"['حبابي', 'بدايه', 'اسبوع', 'موفقه', 'كنموت', 'عليكم']",1
"['صاحبك', 'بصح', 'صاحبك', 'كيبغيك', 'فوجهك', 'حتي', 'فظهرك']",1
"['ولد', 'بلادك', 'فاش', 'كيكبر', 'بيك', 'كتفرح', 'وكتحس', 'بيه', 'باغي', 'ليك', 'الخير']",1
"['فاش', 'كنقول', 'غادي', 'نوصل', 'يعني', 'بيكم', 'نتوما', 'الدعم', 'ديالكم', 'كنفرح', 'فاش', 'كنشوفكم']",1
"['الحمد', 'لله', 'كلشي', 'داز', 'مزيان', 'شكرا', 'الجمهور', 'زوين', 'بزاف']",1
"['امي', 'الحبيبه', 'عام', 'وانت', 'بخير', 'سنه', 'سعيده', 'وكل', 'عام', 'وانت', 'حبيبتي', 'كنبغيك']",1
"['رافق', 'يبغي', 'ليك', 'الخير', 'فوجهك', 'وفظهرك', 'ماشي', 'النفاق', 'الاجتماعي']",1
"['فالتعامل', 'غادي', 'تشوفني', 'ليوما', 'غادي', 'تشوفني']",1
"['الناس', 'الزوينين']",1
"['خلي', 'حياتك', 'الالوان', 'ماشي', 'كحل', 'بيض']",1
"['انتم', 'الكره', 'الارضيه', 'وكيدير', 'داكشي', 'كيرتاح']",1
"['الحياه', 'زوينه', 'وبزاف', 'عيش', 'نصيحه', 'بغي', 'الخير', 'للناس', 'تلقاه']",1
"['ستاغلو', 'وقتكم', 'فحوايج', 'زوينين', 'باش', 'تكونو', 'فرحانين']",1
"['الطبيعه', 'فبعض', 'الاوقات', 'كتخليك', 'مرتاح', 'نفسيا', 'شكرا', 'لكل', 'الناس', 'كيسولو', 'فيا', 'كيدعموني', 'كنبغيكم']",1
"['النفاق', 'فالحياه', 'ديالنا', 'والكذوب', 'ولينا', 'كنعيشوه', 'يوميا', 'حتي', 'ولينا', 'كنشكو', 'ومكنتيقوش']",1
"['نصيحه', 'القلب', 'الي', 'القلب', 'الي', 'كانت', 'عندك', 'شحاجه', 'فقلبك', 'وبغيتي', 'تقولها', 'متخبيهاش', 'الصراحه', 'راحه']",1
"['الهضره', 'بزااف', 'بلاش', 'الفعل', 'احسن', 'كلشي', 'فالايجابيات']",1
"['صفي', 'نيتك', 'ومتخليش', 'الافكار', 'السلبيه', 'تلعب', 'ليك', 'علي', 'العقليه', 'ديالك']",1
"['سلام', 'انا', 'فرحان', 'حنت', 'عرفت', 'بزاف', 'ديال', 'الناس', 'جداد', 'فحياتي', 'فهاد', 'السنه', 'ودازو', 'بزاف', 'ديال', 'اللحظات']",1
"['كتبغيه', 'لراسك', 'بغيه', 'لغيرك']",1
"['اثناء', 'مشاركتنا', 'عمل', 'جمعوي', 'الحي', 'المحمدي', 'بالدار', 'البيضاء', 'الحي', 'المحمدي']",1
"['كتبولي', 'الاغنيه', 'كتعجبكم', 'فكومنطير']",1
