tweets,tweets_clean,preprocessed_text,type,type_encoded,class,class_encoded
الباب اللي يجيك منو الريح سدو و استريح و عندي بزاف ديال الابواب خاصهم يتسدو غير صبرو عليا حتى نشري القفولا,الباب اللي يجيك منو الريح سدو و استريح و عندي بزاف ديال الابواب خاصهم يتسدو غير صبرو عليا حتى نشري القفولا,باب الل جيك منو ريح سدو استريح زاف ابواب خاص تسدو صبرو عليا شري قفولا,neutral,0,dialectal,1
إنها تقنية الفيديو,إنها تقنية الفيديو,إنها قني فيديو,neutral,0,standard,0
اما في الحياة العامة فهو يتصرف وفق قدراته وميزاته ونوع عمله وهذان الوجهان المتناقضان غالبا ينتج عنهما اشكال لا حصر لها من الرياء والخداع و القمع على العرب أن يفهموا التجربة اليابانية، فسيطرة العسكر على الشعب هي سبب دخول البلاد في حروب مجنونة ,اما في الحياة العامة فهو يتصرف وفق قدراته وميزاته ونوع عمله وهذان الوجهان المتناقضان غالبا ينتج عنهما اشكال لا حصر لها من الرياء والخداع و القمع على العرب أن يفهموا التجربة اليابانية، فسيطرة العسكر على الشعب هي سبب دخول البلاد في حروب مجنونة,اما حيا عام فهو تصرف وفق قدرات ميزات نوع عمل هذان وجهان متناقضان نتج عنهما اشكال حصر رياء الخداع قمع عرب فهموا تجرب يابانية، سيطر عسكر شعب سبب دخول بلاد حروب مجنون,neutral,0,standard,0
كم حاجة قضيناها بتركها,كم حاجة قضيناها بتركها,حاج قضينا ترك,neutral,0,standard,0
اليماني الحياد للدولة يقبر لاسامير ,اليماني الحياد للدولة يقبر لاسامير,يمان حياد دول قبر اسامير,neutral,0,standard,0
 واذكر ربك إذا نسيت ,واذكر ربك إذا نسيت,اذكر ربك سيت,neutral,0,standard,0
اولئك الذين يحبون الشاي مثلي يمكننا الاعتماد عليهم,اولئك الذين يحبون الشاي مثلي يمكننا الاعتماد عليهم,اولئ حبون شاي مثل مكن اعتماد علي,neutral,0,standard,0
في محطة القطار جلست جنبي و وجدتها تاكل من نفس كيس البسكويت الذي اشتريته كشرت في وجا فضحكت وقالت تفضلي قلت لها كيف تعزميني على شي ملكي ارتفع صوت ضحكتها اكثر وقالت هذا بسكويت لي انا وليس لك فانتبهت و وجدت نفسي لم افتح كيس البسكو,في محطة القطار جلست جنبي و وجدتها تاكل من نفس كيس البسكويت الذي اشتريته كشرت في وجا فضحكت وقالت تفضلي قلت لها كيف تعزميني على شي ملكي ارتفع صوت ضحكتها اكثر وقالت هذا بسكويت لي انا وليس لك فانتبهت و وجدت نفسي لم افتح كيس البسكو,محط قطار جلست جنب جدت اكل كيس بسكويت اشتريت كشرت وجا ضحكت قالت فضل قلت عزمين شي ملك ارتفع صوت ضحكت اكثر قالت سكويت ليس انتبهت جدت فسي افتح كيس بسكو,neutral,0,standard,0
اللهم صل وسلم وبارك على نبينا محمد عدد ماذكره الذاكرون اللهم صل وسلم وبارك على نبينا محمد عدد ماغفل عنه الغافلون ٰ,اللهم صل وسلم وبارك على نبينا محمد عدد ماذكره الذاكرون اللهم صل وسلم وبارك على نبينا محمد عدد ماغفل عنه الغافلون ٰ,لهم صل سلم بار بينا محمد عدد ماذكر ذاكر لهم صل سلم بار بينا محمد عدد ماغفل عنه غافل ٰ,neutral,0,standard,0
مسجد الرحمة اول مسجد في بريطانيا يقع في مدينة ليفربول شارع بروم تيراس أسسه المحامى البريطاني وليام عبد الله كويليام والذي أقيمت فيه الصلاة أول مرة عام م,مسجد الرحمة اول مسجد في بريطانيا يقع في مدينة ليفربول شارع بروم تيراس أسسه المحامى البريطاني وليام عبد الله كويليام والذي أقيمت فيه الصلاة أول مرة عام م,مسجد رحم اول مسجد ريطانيا يقع مدين يفربول شارع روم يراس أسس محامى بريطان ليام عبد الل كويليام أقيمت صلا مرة عام,neutral,0,standard,0
تفاصيل حادث إطلاق متقاعد النار على شخصا من فوق سطح منزله بكلميم ,تفاصيل حادث إطلاق متقاعد النار على شخصا من فوق سطح منزله بكلميم,فاصيل حادث إطلاق متقاعد نار شخصا سطح منزل كلميم,neutral,0,standard,0
ظروفك الخاصة لك وحدك لكن أدبك في الحديث حق للجميع,ظروفك الخاصة لك وحدك لكن أدبك في الحديث حق للجميع,ظروف خاص حدك أدب حديث حق جميع,neutral,0,standard,0
طلبتيها ساهلة ,طلبتيها ساهلة,طلبتي اهل,neutral,0,dialectal,1
اش غ تستافدي من وراها او بالاحرى علاش غ تغادري,اش غ تستافدي من وراها او بالاحرى علاش غ تغادري,اش ستافد راها او احرى علاش غادر,neutral,0,dialectal,1
 كلنا غا ساكنين فيها فين هما السكان الاصليين اذن ,كلنا غا ساكنين فيها فين هما السكان الاصليين اذن,كلنا غا اكن فين سكان اصلي اذن,neutral,0,dialectal,1
 اكيد انا وحدة منهم ,اكيد انا وحدة منهم,اكيد حدة منهم,neutral,0,dialectal,1
أنا كل ما نويت أنسى ليك ذكرى ترجعني,أنا كل ما نويت أنسى ليك ذكرى ترجعني,ويت أنسى ليك ذكرى رجعن,neutral,0,dialectal,1
اشنو الحل ,اشنو الحل,اشنو الحل,neutral,0,dialectal,1
لا يستطيع أحد أن يحرس عزلته إذا لم يعرف كيف يكون بغيضا,لا يستطيع أحد أن يحرس عزلته إذا لم يعرف كيف يكون بغيضا,ستطيع حرس عزلت عرف كون غيضا,neutral,0,standard,0
سلام على الدنيا اذا لم يكن بها صديق صدوق صادق الوعد منصفا,سلام على الدنيا اذا لم يكن بها صديق صدوق صادق الوعد منصفا,لام دنيا اذا يكن صديق صدوق صادق وعد منصفا,neutral,0,standard,0
تصريحات عادية,تصريحات عادية,صريح عادي,neutral,0,dialectal,1
شركة إيطالية تقدم سيارة الكنغر قاهرة الطرق ,شركة إيطالية تقدم سيارة الكنغر قاهرة الطرق,شرك إيطالي قدم يار كنغر قاهر طرق,neutral,0,standard,0
قاليك اسيدي كثرة النصائح تسلبنا متعة التجارب الخاطئة إلى أي مدى في نظركم,قاليك اسيدي كثرة النصائح تسلبنا متعة التجارب الخاطئة إلى أي مدى في نظركم,قالي اسيد كثر نصائح سلب متع تجارب خاطئ مدى ظركم,neutral,0,dialectal,1
في هده الحالة غضي الطرف و واصلي حياتك ان كان تمت ما يمكن تغييره فهو كذلك غير ذلك فانت غير ملامة,في هده الحالة غضي الطرف و واصلي حياتك ان كان تمت ما يمكن تغييره فهو كذلك غير ذلك فانت غير ملامة,هده حال غضي طرف اصل حيات ان تمت مكن غيير فهو انت ملام,neutral,0,standard,0
غتكوني درتي علاش ,غتكوني درتي علاش,غتكون درت علاش,neutral,0,dialectal,1
كاين بزاف ديال مواضيع الساعة عندي فيهم آراء مختلفة على أكثرية الناس,كاين بزاف ديال مواضيع الساعة عندي فيهم آراء مختلفة على أكثرية الناس,زاف مواضيع ساع يهم آراء مختلف أكثري ناس,neutral,0,dialectal,1
الصورة لا تحتاج لتعليق,الصورة لا تحتاج لتعليق,صور حتاج تعليق,neutral,0,standard,0
بطريقة أو بأخرى هذا الشيء عندنا في المغرب أيضا أنت لست مغربي إذا لم تتأخر على موعدك,بطريقة أو بأخرى هذا الشيء عندنا في المغرب أيضا أنت لست مغربي إذا لم تتأخر على موعدك,طريق أخرى شيء عند مغرب مغرب تأخر موعد,neutral,0,standard,0
 بيضة إنستغرام الأشهر في العالم، تفقس أخيرا ,بيضة إنستغرام الأشهر في العالم، تفقس أخيرا,يضة إنستغرام أشهر عالم، فقس أخيرا,neutral,0,standard,0
اويلي هدا هو شيكي فبلادهم,اويلي هدا هو شيكي فبلادهم,اويل هدا شيك بلاد,neutral,0,dialectal,1
قال الشيخ عمر الأشقر ولما كانت الملائكة أجساما نورانية لطيفة ؛ فإن العباد لا يستطيعون رؤيتهم ، خاصة أن الله لم يعط أبصارنا القدرة على هذه الرؤية ، ولم ير الملائكة في صورهم الحقيقية من هذه الأمة إلا الرسول صلى الله عليه وسلم ,قال الشيخ عمر الأشقر ولما كانت الملائكة أجساما نورانية لطيفة ؛ فإن العباد لا يستطيعون رؤيتهم ، خاصة أن الله لم يعط أبصارنا القدرة على هذه الرؤية ، ولم ير الملائكة في صورهم الحقيقية من هذه الأمة إلا الرسول صلى الله عليه وسلم,قال شيخ عمر أشقر لما كانت ملائك أجساما وراني طيف ؛ عباد ستطيع رؤيت ، الل يعط أبصار قدر رؤي ، ولم ير ملائك صور حقيقي أمة رسول صلى الل سلم,neutral,0,standard,0
شارع واحد، وجانبان ,شارع واحد، وجانبان,شارع احد، جانبان,neutral,0,standard,0
شكون باقي فايق ,شكون باقي فايق,شكون اقي ايق,neutral,0,dialectal,1
تصريح وزير التربية الوطنية حول التوظيف بالتعاقد ,تصريح وزير التربية الوطنية حول التوظيف بالتعاقد,صريح زير تربي وطني حول توظيف تعاقد,neutral,0,standard,0
سباق نسوي على الطريق في عيد المرأة بسطات ,سباق نسوي على الطريق في عيد المرأة بسطات,باق سوي طريق عيد مرأ سطات,neutral,0,standard,0
دخول بعض الناس لحياتك هو مجرد درس تتعلم فيه أشياء تطبقها باقي حياتك أولها هو عدم الإفراط بالعاطفة وثانيها أن قلل توقعاتك بالأشخاص,دخول بعض الناس لحياتك هو مجرد درس تتعلم فيه أشياء تطبقها باقي حياتك أولها هو عدم الإفراط بالعاطفة وثانيها أن قلل توقعاتك بالأشخاص,دخول ناس حيات مجرد درس تعلم أشياء طبق اقي حيات أول عدم إفراط عاطف ثاني قلل وقعات أشخاص,neutral,0,standard,0
 باختصار الدوزي يمزج الإيقاعات بلهجة بيضاء ,باختصار الدوزي يمزج الإيقاعات بلهجة بيضاء,اختصار دوز مزج إيقاع لهج يضاء,neutral,0,standard,0
البوليساريو تنسج دعايات ومناورات سياسية قبيل محادثات جنيف ,البوليساريو تنسج دعايات ومناورات سياسية قبيل محادثات جنيف,بوليساريو نسج دعاي مناور ياسي قبيل محادث جنيف,neutral,0,standard,0
هذا هو التعاون العربي الحقيقي,هذا هو التعاون العربي الحقيقي,تعا عرب حقيق,neutral,0,standard,0
الكاريزما توضع في المقام الاول عاد نشوف الاقدمية,الكاريزما توضع في المقام الاول عاد نشوف الاقدمية,كاريزما وضع مقام اول شوف اقدمي,neutral,0,dialectal,1
من سيسلم الكاس لقطر في حال ربحت ,من سيسلم الكاس لقطر في حال ربحت,يسلم كاس قطر حال ربحت,neutral,0,standard,0
شئ بديهي ,شئ بديهي,شئ ديه,neutral,0,standard,0
المقاطعة تبدأ من البيوت,المقاطعة تبدأ من البيوت,مقاطع بدأ بيوت,neutral,0,standard,0
شكون غايخدم معكم المراسلين من المغرب حيت كلشي غايشدوه لتجنيد الإخباري عفوا الإجباري ,شكون غايخدم معكم المراسلين من المغرب حيت كلشي غايشدوه لتجنيد الإخباري عفوا الإجباري,شكون غايخدم معكم مراسل مغرب حيت كلش غايشدو تجنيد إخبار عفوا إجبار,neutral,0,dialectal,1
اين انتم ياقوم,اين انتم ياقوم,اين انتم اقوم,neutral,0,standard,0
تريدين توريطي رأيك و يحترم انا قلت لو تم دمجهم كان أحسن عموما لقد تم اقرار المشروع و سنتعود على الاسماء لأنهم من هويتنا الاسلامية كما قلت,تريدين توريطي رأيك و يحترم انا قلت لو تم دمجهم كان أحسن عموما لقد تم اقرار المشروع و سنتعود على الاسماء لأنهم من هويتنا الاسلامية كما قلت,ريد وريط رأي حترم قلت تم دمج أحسن عموما لقد تم اقرار مشروع نتعود اسماء أنهم هويت اسلامي قلت,neutral,0,standard,0
كيف الحال و الأحوال,كيف الحال و الأحوال,حال أحوال,neutral,0,standard,0
قانون الطبيعة يقول لكل بداية نهاية الحياة,قانون الطبيعة يقول لكل بداية نهاية الحياة,قان طبيع قول لكل داي هاي حيا,neutral,0,standard,0
لا أظن أنه يوجد ما يعبر عن التزامنا به,لا أظن أنه يوجد ما يعبر عن التزامنا به,أظن أنه وجد عبر تزام,neutral,0,standard,0
قالك دابا طلقو شي فضاء كيراقب تحركات البوليساريو في الداخل والخارج ,قالك دابا طلقو شي فضاء كيراقب تحركات البوليساريو في الداخل والخارج,قال طلقو شي ضاء كيراقب حرك بوليساريو داخل الخارج,neutral,0,dialectal,1
اول شيء في المرحلة القادمة هو تحديد المدرب الجديد و تقديم له كل الصلاحيات,اول شيء في المرحلة القادمة هو تحديد المدرب الجديد و تقديم له كل الصلاحيات,اول شيء مرحل قادم حديد مدرب جديد قديم صلاحي,neutral,0,standard,0
سبحان الله و الحمد لله و لا اله الا الله والله أكبر,سبحان الله و الحمد لله و لا اله الا الله والله أكبر,الل حمد لله اله الا الل الل أكبر,neutral,0,standard,0
اييه بسبب الشتا الحكم ملي شاف ارضية الملعب قال غير صالحة للعب كرة القدم تاجلت ساعه,اييه بسبب الشتا الحكم ملي شاف ارضية الملعب قال غير صالحة للعب كرة القدم تاجلت ساعه,ايي سبب شتا حكم ملي شاف ارضي ملعب قال صالح لعب كرة قدم اجلت اعه,neutral,0,dialectal,1
هناك سور كبير من زمن الاستعمار الفرنسي,هناك سور كبير من زمن الاستعمار الفرنسي,سور كبير زمن استعمار فرنس,neutral,0,standard,0
وحق الله أتاي حسن منهم بجوج ,وحق الله أتاي حسن منهم بجوج,وحق الل أتا حسن منهم جوج,neutral,0,dialectal,1
سماء غائمة وأمطار رعدية ,سماء غائمة وأمطار رعدية,ماء غائم أمطار رعدي,neutral,0,standard,0
التعليم وتمكين المرأة والشباب في بناء المجتمع مواضيع مهمة,التعليم وتمكين المرأة والشباب في بناء المجتمع مواضيع مهمة,تعليم تمك مرأ الشباب ناء مجتمع مواضيع مهم,neutral,0,standard,0
واحد خدام معايا قلت ليه عافاك صاوب ليا واحد اللعبة ف لاكليم الفوق حيت ماوصلتش و هو طويل قاليا انا انجنيور مانقيصش داكشي كل واحد و الاختصاصات ديالو شوفي لي مكلف بداكشي ,واحد خدام معايا قلت ليه عافاك صاوب ليا واحد اللعبة ف لاكليم الفوق حيت ماوصلتش و هو طويل قاليا انا انجنيور مانقيصش داكشي كل واحد و الاختصاصات ديالو شوفي لي مكلف بداكشي,خدام معايا قلت ليه عافا صاوب ليا لعب اكليم فوق حيت ماوصلتش طويل قاليا انجنيور مانقيصش داكش اختصاص ديالو شوف مكلف داكش,neutral,0,dialectal,1
كاين شي لبن بلدي ,كاين شي لبن بلدي,شي لبن لدي,neutral,0,dialectal,1
ماهي آرائكم متتبعي الكرام,ماهي آرائكم متتبعي الكرام,ماه آرائ متتبع كرام,neutral,0,standard,0
النفس المتقلبة لا تثبت على حال,النفس المتقلبة لا تثبت على حال,نفس متقلب ثبت حال,neutral,0,standard,0
الاخلاق هي كولشي حتى نتي,الاخلاق هي كولشي حتى نتي,اخلاق كولش,neutral,0,dialectal,1
بالتجارب و الوقوع في الاخطاء و تصحيحها مستقبلا تكسر الثقة في،النفس،بتكرار الاخطاء رأيي,بالتجارب و الوقوع في الاخطاء و تصحيحها مستقبلا تكسر الثقة في،النفس،بتكرار الاخطاء رأيي,تجارب وقوع اخطاء صحيح مستقبلا كسر ثقة ي،النفس،بتكرار اخطاء رأي,neutral,0,standard,0
ولدت مسلم بالفطرة لكن هذا لم يمنعني يوما من القول لماذا أنا مسلم,ولدت مسلم بالفطرة لكن هذا لم يمنعني يوما من القول لماذا أنا مسلم,لدت مسلم فطر منعن وما قول ماذا مسلم,neutral,0,standard,0
منطقة بدأت قصتي معها منذ سنين,منطقة بدأت قصتي معها منذ سنين,منطق دأت قصت معها نين,neutral,0,standard,0
الرجال صناديق مقفلة مفاتيحها التجارب,الرجال صناديق مقفلة مفاتيحها التجارب,رجال صناديق مقفل مفاتيح تجارب,neutral,0,standard,0
لوحات تشكيلة وتحف فنية,لوحات تشكيلة وتحف فنية,وحات شكيل تحف نية,neutral,0,standard,0
الحل الوحيد هو الحوار,الحل الوحيد هو الحوار,الحل وحيد حوار,neutral,0,standard,0
إن الله وملائكته يصلون على النبي يا أيها الذين آمنوا صلوا عليه وسلموا تسليما الأحزاب,إن الله وملائكته يصلون على النبي يا أيها الذين آمنوا صلوا عليه وسلموا تسليما الأحزاب,الل ملائكت صلون نبي آمنوا صلوا سلموا سليما أحزاب,neutral,0,standard,0
 كل شيء ممكن ,كل شيء ممكن,شيء ممكن,neutral,0,standard,0
حتى نوعية التربة تساعد ,حتى نوعية التربة تساعد,وعي ترب ساعد,neutral,0,standard,0
في طريقي إلى مدينة أكادير أكاديريين واش كاينين ,في طريقي إلى مدينة أكادير أكاديريين واش كاينين,طريق مدين أكادير أكاديري كاين,neutral,0,dialectal,1
ليت المسافه تنطوي ليلة العيد,ليت المسافه تنطوي ليلة العيد,مساف نطو يلة عيد,neutral,0,standard,0
ماشي ف كل مرة تسلم الجرة,ماشي ف كل مرة تسلم الجرة,ماش مرة سلم جرة,neutral,0,dialectal,1
رصيف الصحافة زيارة الملك محمد السادس تشغل الرأي العام بأكادير ,رصيف الصحافة زيارة الملك محمد السادس تشغل الرأي العام بأكادير,رصيف صحاف زيار ملك محمد سادس شغل رأي عام أكادير,neutral,0,standard,0
الإبراهيمي و شباب الحراك يرسمون مستقبل الجزائر بعد بوتفليقة ,الإبراهيمي و شباب الحراك يرسمون مستقبل الجزائر بعد بوتفليقة,إبراهيم شباب حرا رسم مستقبل جزائر وتفليق,neutral,0,standard,0
بروفيسور نوبواكي نوتوهارا كاتب و مترجم و أستاذ جامعي ياباني، درس الأدب العربي في جامعة طوكيو ثم مدرسا فيها للادب العربي المعاصر عايش العرب حوالي عاما كتب كتاب العرب من وجهة نظر يابانية يتحدث عن انطباعاته عن العرب و التي تلخص الواقع العربي,بروفيسور نوبواكي نوتوهارا كاتب و مترجم و أستاذ جامعي ياباني، درس الأدب العربي في جامعة طوكيو ثم مدرسا فيها للادب العربي المعاصر عايش العرب حوالي عاما كتب كتاب العرب من وجهة نظر يابانية يتحدث عن انطباعاته عن العرب و التي تلخص الواقع العربي,روفيسور وبواك وتوهارا كاتب مترجم أستاذ جامع اباني، درس أدب عرب جامع طوكيو مدرسا ادب عرب معاصر عايش عرب حوال عاما كتب كتاب عرب جهة نظر اباني تحدث انطباعات عرب لخص واقع عرب,neutral,0,standard,0
لا يتحدث خلفك إلا من خشي الوقوف امامك,لا يتحدث خلفك إلا من خشي الوقوف امامك,تحدث خلف خشي وقوف امام,neutral,0,standard,0
أرخص كتاب بالمعرض الدولي للكتاب ,أرخص كتاب بالمعرض الدولي للكتاب,أرخص كتاب معرض دول كتاب,neutral,0,standard,0
بغيت نوض ندير لبغرير خفتو مع هاد البرد ميخمرش ليا,بغيت نوض ندير لبغرير خفتو مع هاد البرد ميخمرش ليا,غيت نوض دير بغرير خفتو برد ميخمرش ليا,neutral,0,dialectal,1
المسألة خاصها تدبير من الشرفاء الاخيار,المسألة خاصها تدبير من الشرفاء الاخيار,مسأل خاص دبير شرفاء اخيار,neutral,0,dialectal,1
حتى انا قلت اللي يجول في خاطري و نتمنى ما يكون شي سوء فهم,حتى انا قلت اللي يجول في خاطري و نتمنى ما يكون شي سوء فهم,قلت الل جول خاطر تمنى كون شي سوء فهم,neutral,0,dialectal,1
باقي قدامكم ساعة على اليلة يلاه,باقي قدامكم ساعة على اليلة يلاه,اقي قدام اعة يلة لاه,neutral,0,dialectal,1
الشرطة القضائية تحجز أدوية مهربة بأبي الجعد ,الشرطة القضائية تحجز أدوية مهربة بأبي الجعد,شرط قضائي حجز أدوي مهرب أبي جعد,neutral,0,standard,0
كلمات الموسيقى الشعبية ,كلمات الموسيقى الشعبية,كلم موسيقى شعبي,neutral,0,standard,0
المدارس لن تعود إلى التوقيت العادي ,المدارس لن تعود إلى التوقيت العادي,مدارس عود توقيت عاد,neutral,0,standard,0
اكيد المسألة واضحة وضوح الشمس,اكيد المسألة واضحة وضوح الشمس,اكيد مسأل اضح ضوح شمس,neutral,0,standard,0
ا رواية لهفة والحنين حكاية وجع لايمكن تلخيصها في كلمات,ا رواية لهفة والحنين حكاية وجع لايمكن تلخيصها في كلمات,رواي هفة الحن حكاي وجع ايم لخيص كلم,neutral,0,standard,0
هانتي تشوفي ,هانتي تشوفي,هانت شوف,neutral,0,dialectal,1
 انا اصلا غ من المتفرجين النتيجة اللي كانت مرحبا ,انا اصلا غ من المتفرجين النتيجة اللي كانت مرحبا,اصلا متفرج نتيج الل كانت مرحبا,neutral,0,dialectal,1
هل يتساوى الشرف مع الروح إدا كان الجواب نعم فالسيدة الجانية فعلت ما يجب أن يفعل,هل يتساوى الشرف مع الروح إدا كان الجواب نعم فالسيدة الجانية فعلت ما يجب أن يفعل,تساوى شرف روح إدا جواب السيد جاني علت يجب فعل,neutral,0,standard,0
من هادشي كامل فاش نرجع غنمشي عند الوالد انعاود ليه هادشي ,من هادشي كامل فاش نرجع غنمشي عند الوالد انعاود ليه هادشي,هادش كامل فاش رجع غنمش والد انعاود ليه هادش,neutral,0,dialectal,1
اللهم امين و جميع مرضى المسلمين,اللهم امين و جميع مرضى المسلمين,لهم امين مرضى مسلم,neutral,0,standard,0
الرجال قوامون على النساء ,الرجال قوامون على النساء,رجال قوام نساء,neutral,0,standard,0
فقط في المغرب,فقط في المغرب,فقط مغرب,neutral,0,standard,0
تفعيل دور المرأة في الحياة السياسية موضوع مهم جدا بالنسبة لي,تفعيل دور المرأة في الحياة السياسية موضوع مهم جدا بالنسبة لي,فعيل دور مرأ حيا سياسي موضوع مهم جدا نسب,neutral,0,standard,0
قصة شخص غامر بحياته لإنقاذ ضحايا حريق قطار محطة القاهرة ,قصة شخص غامر بحياته لإنقاذ ضحايا حريق قطار محطة القاهرة,قصة شخص غامر حيات إنقاذ ضحايا حريق قطار محط قاهر,neutral,0,standard,0
من منا لا يحب الحرية,من منا لا يحب الحرية,منا يحب حري,neutral,0,standard,0
حتى توصلي لمرحلة اليقين متخفيش ,حتى توصلي لمرحلة اليقين متخفيش,وصل مرحل يقين متخفيش,neutral,0,dialectal,1
سبحان الله العظيم لا حول ولا قوة الا بالله,سبحان الله العظيم لا حول ولا قوة الا بالله,الل عظيم حول قوة الا الل,neutral,0,standard,0
 هادشي لي كاين ,هادشي لي كاين,هادش,neutral,0,dialectal,1
 المستقبل يفكك الدولة العميقة في حراك الجزائر ,المستقبل يفكك الدولة العميقة في حراك الجزائر,مستقبل فكك دول عميق حرا جزائر,neutral,0,standard,0
لهذا وضعوا له خطط لاسقاطه,لهذا وضعوا له خطط لاسقاطه,هذا ضعوا خطط اسقاط,neutral,0,standard,0
مفوضة حقوق الإنسان تدعو إلى استئناف عمل البعثات التقنية بالصحراء ,مفوضة حقوق الإنسان تدعو إلى استئناف عمل البعثات التقنية بالصحراء,مفوض حقوق إنسان دعو استئناف عمل بعث تقني صحراء,neutral,0,standard,0
راهم كثااار لا تشغلي بالك,راهم كثااار لا تشغلي بالك,راهم كثاار شغل الك,neutral,0,dialectal,1
تركاب البوطة تا هو ولا سميتو بريكولاج ,تركاب البوطة تا هو ولا سميتو بريكولاج,ركاب بوط تا ميتو ريكولاج,neutral,0,dialectal,1
 كيقولو سال المجرب و سال الطبيب,كيقولو سال المجرب و سال الطبيب,كيقولو سال مجرب سال طبيب,neutral,0,dialectal,1
الحالات التي لا ينصح فيها استخدام الحجامة ,الحالات التي لا ينصح فيها استخدام الحجامة,حال نصح استخدام حجام,neutral,0,standard,0
اللبسة الجديدة للامن,اللبسة الجديدة للامن,لبس جديد امن,neutral,0,dialectal,1
الجزيرة التي غيرت طريقة سفرنا حول العالم ,الجزيرة التي غيرت طريقة سفرنا حول العالم,جزير غيرت طريق فرنا حول عالم,neutral,0,standard,0
ليست هذه هي الفكرة الاساسية للتغريدة,ليست هذه هي الفكرة الاساسية للتغريدة,فكر اساسي تغريد,neutral,0,standard,0
خمس حيل يومية لا غنى عنها ,خمس حيل يومية لا غنى عنها,حيل ومي غنى عنها,neutral,0,standard,0
على حسب زاوية الرؤية,على حسب زاوية الرؤية,زاوي رؤي,neutral,0,standard,0
 هاد المسألة اللي ما نفهم فيها والو,هاد المسألة اللي ما نفهم فيها والو,مسأل الل فهم الو,neutral,0,dialectal,1
الربح غير محدد النسبة دياله تختلف الأمور الا كانت السلع è ,الربح غير محدد النسبة دياله تختلف الأمور الا كانت السلع è,ربح محدد نسب ديال ختلف أمور الا كانت سلع è,neutral,0,dialectal,1
من المهم أن نسلط الضوء على أولئك الذين يخاطرون بحياتهم من أجل مساعدة الآخرين,من المهم أن نسلط الضوء على أولئك الذين يخاطرون بحياتهم من أجل مساعدة الآخرين,مهم سلط ضوء خاطر حيات مساعد آخر,neutral,0,standard,0
 ماذا تتوقعين من بلادنا,ماذا تتوقعين من بلادنا,توقع لاد,neutral,0,standard,0
هذا عنوان لقصتي المستقبلية ,هذا عنوان لقصتي المستقبلية,عنوان قصت مستقبلي,neutral,0,standard,0
لا تحزن على من تغير عليك فجأة فقد يكون اعتزل التمثيل وعاد إلى شخصيته الحقيقية,لا تحزن على من تغير عليك فجأة فقد يكون اعتزل التمثيل وعاد إلى شخصيته الحقيقية,حزن غير جأة فقد كون اعتزل تمثيل عاد شخصيت حقيقي,neutral,0,standard,0
